,authname1,authname2,value
0,Ueda T.,Ueda T.,1
1,Manchanda P.,Onishi H.,1
2,Feldman R.,Netzer O.,1
3,Goldenberg J.,Netzer O.,1
4,Fresko M.,Netzer O.,1
5,Feldman R.,Goldenberg J.,1
6,Feldman R.,Fresko M.,1
7,Fresko M.,Goldenberg J.,1
8,Ghose A.,Ipeirotis P.G.,1
9,Ghose A.,Li B.,1
10,Ipeirotis P.G.,Li B.,1
11,Pehlivan E.,Sarican F.,1
12,Berthon P.,Pehlivan E.,1
13,Berthon P.,Sarican F.,1
14,Breur T.,Breur T.,1
15,Anderson T.,Anderson T.,1
16,Lee M.J.,Singh N.,1
17,Chan E.S.W.,Lee M.J.,1
18,Chan E.S.W.,Singh N.,1
19,Hillmer S.,Singh S.N.,1
20,Singh S.N.,Wang Z.,1
21,Hillmer S.,Wang Z.,1
22,Bradlow E.T.,Lee T.Y.,1
23,Dahl S.,Dahl S.,1
24,Decker R.,Trusov M.,1
25,Leventhal B.,Leventhal B.,1
26,Mora P.,Moscarola J.,1
27,Mathison J.,Tosey P.,1
28,Harding J.,Szakacs J.,1
29,Harding J.,Parry B.,1
30,Parry B.,Szakacs J.,1
31,Cosenza R.,Rickman T.,1
32,Pattinson H.M.,Woodside A.G.,1
33,Miller K.E.,Woodside A.G.,1
34,Miller K.E.,Pattinson H.M.,1
35,Hu C.,Lee C.C.,1
36,Helmersson H.,Mattsson J.,1
37,Ewing M.T.,Leong E.K.F.,1
38,Leong E.K.F.,Pitt L.,1
39,Ewing M.T.,Pitt L.,1
40,Holzmuller H.H.,Sinkovics R.R.,1
41,Nancarrow C.,Penn S.,1
42,Moskvin A.,Nancarrow C.,1
43,Nancarrow C.,Shankar A.,1
44,Moskvin A.,Shankar A.,1
45,Dowling G.,Kabanoff B.,1
