"","entry_number","@_fa","affiliation_url","afid","affilname","affiliation_city","affiliation_country","continent"
"1",1,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60107373","60107373","Indian Institute of Management Ranchi","Ranchi","India","Asia"
"2",2,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105146","60105146","Princess Nourah Bint Abdulrahman University","Riyadh","Saudi Arabia","Asia"
"3",2,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60104674","60104674","Najran University","Najran","Saudi Arabia","Asia"
"4",2,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60101841","60101841","UCSI University","Kuala Lumpur","Malaysia","Asia"
"5",2,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60072749","60072749","Qatar University","Doha","Qatar","Asia"
"6",2,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60000906","60000906","Universiti Sains Malaysia","Minden","Malaysia","Asia"
"7",3,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60115862","60115862","Uttaranchal University","Dehradun","India","Asia"
"8",3,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105536","60105536","Integral University","Lucknow","India","Asia"
"9",3,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60032269","60032269","Aligarh Muslim University","Aligarh","India","Asia"
"10",3,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60005919","60005919","Utah Tech University","St George","United States","Americas"
"11",4,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60122800","60122800","Sam M. Walton College of Business","Fayetteville","United States","Americas"
"12",4,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60122758","60122758","Raymond J. Harbert College of Business","Auburn","United States","Americas"
"13",4,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116456","60116456","Haslam College of Business","Knoxville","United States","Americas"
"14",4,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028089","60028089","Darla Moore School of Business","Columbia","United States","Americas"
"15",5,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60053707","60053707","University of the Punjab","Lahore","Pakistan","Asia"
"16",6,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60108882","60108882","Wenzhou-Kean University","Wenzhou","China","Asia"
"17",6,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60027018","60027018","National Chengchi University","Taipei","Taiwan","Asia"
"18",6,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60001081","60001081","China Telecommunications","Beijing","China","Asia"
"19",7,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60021494","60021494","Sakarya Üniversitesi","Serdivan","Turkey","Asia"
"20",8,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60009387","60009387","Dongguk University, Seoul","Seoul","South Korea","Asia"
"21",8,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60005581","60005581","Dongduk Women's University","Seoul","South Korea","Asia"
"22",10,NA,NA,NA,NA,NA,NA,NA
"23",10,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60016912","60016912","Yonsei University","Seoul","South Korea","Asia"
"24",11,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028229","60028229","Universität Hamburg","Hamburg","Germany","Europe"
"25",11,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60010023","60010023","Rijksuniversiteit Groningen","Groningen","Netherlands","Europe"
"26",11,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60000583","60000583","Wirtschaftsuniversität Wien","Vienna","Austria","Europe"
"27",12,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116255","60116255","C. T. Bauer College of Business","Houston","United States","Americas"
"28",12,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60102538","60102538","Karlsruher Institut für Technologie","Karlsruhe","Germany","Europe"
"29",12,"true","https://api.elsevier.com/content/affiliation/affiliation_id/128210654","128210654","MARA","Mannheim","Germany","Europe"
"30",13,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60030961","60030961","Santa Fe Institute","Santa Fe","United States","Americas"
"31",13,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60017072","60017072","Tuck School of Business at Dartmouth","Hanover","United States","Americas"
"32",13,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60010875","60010875","Luddy School of Informatics, Computing, and Engineering","Bloomington","United States","Americas"
"33",13,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60010756","60010756","Dartmouth College","Hanover","United States","Americas"
"34",14,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60021859","60021859","Università degli Studi di Firenze","Florence","Italy","Europe"
"35",15,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60027884","60027884","Sejong University","Seoul","South Korea","Asia"
"36",15,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60005581","60005581","Dongduk Women's University","Seoul","South Korea","Asia"
"37",16,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60020903","60020903","California State University Channel Islands","Camarillo","United States","Americas"
"38",16,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60016569","60016569","Chapman University","Orange","United States","Americas"
"39",18,NA,NA,NA,NA,NA,NA,NA
"40",18,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60238182","60238182","College of Management","Taipei","Taiwan","Asia"
"41",18,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60159673","60159673","Spears School of Business at Oklahoma State University","Stillwater","United States","Americas"
"42",18,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60012369","60012369","Chinese Culture University Taiwan","Taipei","Taiwan","Asia"
"43",19,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60180326","60180326","Newcastle Business School","Newcastle","Australia","Oceania"
"44",19,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60105899","60105899","NOVA Information Management School, Universidade Nova de Lisboa","Lisboa","Portugal","Europe"
"45",19,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028300","60028300","Iscte – Instituto Universitário de Lisboa","Lisbon","Portugal","Europe"
"46",19,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60027072","60027072","Instituto Politcnico de Coimbra","Coimbra","Portugal","Europe"
"47",19,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60020475","60020475","Universidade do Minho","Braga","Portugal","Europe"
"48",19,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60013944","60013944","Universidade Autónoma de Lisboa Luís de Camões","Lisbon","Portugal","Europe"
"49",20,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60018353","60018353","Technische Universität Dresden","Dresden","Germany","Europe"
"50",22,NA,NA,NA,NA,NA,NA,NA
"51",22,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60190890","60190890","UNSW Business School","Kensington","Australia","Oceania"
"52",22,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60180326","60180326","Newcastle Business School","Newcastle","Australia","Oceania"
"53",23,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60116755","60116755","John Molson School of Business","Montreal","Canada","Americas"
"54",23,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60017062","60017062","Morgan State University","Baltimore","United States","Americas"
"55",24,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60028300","60028300","Iscte – Instituto Universitário de Lisboa","Lisbon","Portugal","Europe"
"56",25,"true","https://api.elsevier.com/content/affiliation/affiliation_id/60025488","60025488","The University of Utah","Salt Lake City","United States","Americas"
