"","entry_number","@_fa","@seq","author_url","authid","orcid","authname","surname","given_name","initials","afid.@_fa","afid"
"1",1,"true","1","https://api.elsevier.com/content/author/author_id/57221749075","57221749075","0000-0003-1628-213X","Kumar A.","Kumar","Avinash","A.","true","60107373"
"2",1,"true","2","https://api.elsevier.com/content/author/author_id/8953044400","8953044400","0000-0002-6958-6762","Chakraborty S.","Chakraborty","Shibashish","S.","true","60107373"
"3",1,"true","3","https://api.elsevier.com/content/author/author_id/26639138400","26639138400","0000-0002-9028-4902","Bala P.K.","Bala","Pradip Kumar","P.K.","true","60107373"
"4",2,"true","1","https://api.elsevier.com/content/author/author_id/53164463000","53164463000",NA,"Nilashi M.","Nilashi","Mehrbakhsh","M.","true","60101841"
"5",2,"true","2","https://api.elsevier.com/content/author/author_id/57192708131","57192708131",NA,"Abumalloh R.A.","Abumalloh","Rabab Ali","R.A.","true","60072749"
"6",2,"true","3","https://api.elsevier.com/content/author/author_id/36083232600","36083232600",NA,"Samad S.","Samad","Sarminah","S.","true","60105146"
"7",2,"true","4","https://api.elsevier.com/content/author/author_id/57203188500","57203188500",NA,"Alrizq M.","Alrizq","Mesfer","M.","true","60104674"
"8",2,"true","5","https://api.elsevier.com/content/author/author_id/57897891500","57897891500",NA,"Alyami S.","Alyami","Sultan","S.","true","60104674"
"9",2,"true","6","https://api.elsevier.com/content/author/author_id/57353133300","57353133300",NA,"Alghamdi A.","Alghamdi","Abdullah","A.","true","60104674"
"10",3,"true","1","https://api.elsevier.com/content/author/author_id/57225089714","57225089714","0000-0002-1856-7836","Khan F.M.","Khan","Farheen Mujeeb","F.M.","true","60032269"
"11",3,"true","2","https://api.elsevier.com/content/author/author_id/57216528363","57216528363","0000-0002-7634-5334","Khan S.A.","Khan","Suhail Ahmad","S.A.","true","60105536"
"12",3,"true","3","https://api.elsevier.com/content/author/author_id/57218767598","57218767598","0000-0003-4074-0006","Shamim K.","Shamim","Khalid","K.","true","60032269"
"13",3,"true","4","https://api.elsevier.com/content/author/author_id/57225092265","57225092265","0000-0001-8284-2049","Gupta Y.","Gupta","Yuvika","Y.","true","60115862"
"14",3,"true","5","https://api.elsevier.com/content/author/author_id/57917951100","57917951100","0000-0001-6150-5174","Sherwani S.I.","Sherwani","Shariq I.","S.I.","true","60005919"
"15",4,"true","1","https://api.elsevier.com/content/author/author_id/57218295016","57218295016","0000-0002-1418-7529","Smith L.W.","Smith","Leah Warfield","L.W.","true","60122800"
"16",4,"true","2","https://api.elsevier.com/content/author/author_id/7402136911","7402136911",NA,"Rose R.L.","Rose","Randall Lee","R.L.","true","60028089"
"17",4,"true","3","https://api.elsevier.com/content/author/author_id/8450646900","8450646900",NA,"Zablah A.R.","Zablah","Alex R.","A.R.","true","60116456"
"18",4,"true","4","https://api.elsevier.com/content/author/author_id/57199153578","57199153578",NA,"McCullough H.","McCullough","Heath","H.","true","60122758"
"19",4,"true","5","https://api.elsevier.com/content/author/author_id/57904531700","57904531700",NA,"Saljoughian M.","Saljoughian","Mohammad","M.","true","60116456"
"20",5,"true","1","https://api.elsevier.com/content/author/author_id/58082427000","58082427000","0000-0002-7300-0824","Hussain A.","Hussain","Atif","A.","true","60053707"
"21",5,"true","2","https://api.elsevier.com/content/author/author_id/57245936200","57245936200","0000-0001-7553-1840","Hannan A.","Hannan","Abdul","A.","true","60053707"
"22",5,"true","3","https://api.elsevier.com/content/author/author_id/57194223519","57194223519",NA,"Shafiq M.","Shafiq","Muhammad","M.","true","60053707"
"23",6,"true","1","https://api.elsevier.com/content/author/author_id/57202425819","57202425819",NA,"Kim J.M.","Kim","Jong Min","J.M.","true","60108882"
"24",6,"true","2","https://api.elsevier.com/content/author/author_id/57207982029","57207982029",NA,"Ma H.","Ma","Haoxiang","H.","true","60001081"
"25",6,"true","3","https://api.elsevier.com/content/author/author_id/57320905200","57320905200","0000-0002-4770-8079","Park S.","Park","Sungjun","S.","true","60027018"
"26",7,"true","1","https://api.elsevier.com/content/author/author_id/55627975900","55627975900","0000-0003-2221-1469","Çalli L.","Çalli","Levent","L.","true","60021494"
"27",8,"true","1","https://api.elsevier.com/content/author/author_id/57992990400","57992990400","0000-0002-1912-5853","Son Y.","Son","Youngdoo","Y.","true","60009387"
"28",8,"true","2","https://api.elsevier.com/content/author/author_id/56517258500","56517258500","0000-0001-5177-8072","Kim W.","Kim","Wonjoon","W.","true","60005581"
"29",9,"true","1","https://api.elsevier.com/content/author/author_id/55123240900","55123240900","0000-0002-4335-1703","Herhausen D.","Herhausen","Dennis","D.",NA,NA
"30",9,"true","2","https://api.elsevier.com/content/author/author_id/56412016700","56412016700",NA,"Grewal L.","Grewal","Lauren","L.",NA,NA
"31",9,"true","3","https://api.elsevier.com/content/author/author_id/57971765100","57971765100",NA,"Cummings K.H.","Cummings","Krista Hill","K.H.",NA,NA
"32",9,"true","4","https://api.elsevier.com/content/author/author_id/6603318513","6603318513",NA,"Roggeveen A.L.","Roggeveen","Anne L.","A.L.",NA,NA
"33",9,"true","5","https://api.elsevier.com/content/author/author_id/56233503500","56233503500",NA,"Villarroel Ordenes F.","Villarroel Ordenes","Francisco","F.",NA,NA
"34",9,"true","6","https://api.elsevier.com/content/author/author_id/7004324968","7004324968",NA,"Grewal D.","Grewal","Dhruv","D.",NA,NA
"35",10,"true","1","https://api.elsevier.com/content/author/author_id/57279681800","57279681800","0000-0001-9431-952X","Park J.","Park","Jeongeun","J.","true","60016912"
"36",10,"true","2","https://api.elsevier.com/content/author/author_id/57226635736","57226635736","0000-0001-9401-0506","Yang D.","Yang","Donguk","D.","true","60016912"
"37",10,"true","3","https://api.elsevier.com/content/author/author_id/57214326551","57214326551","0000-0001-5115-9984","Kim H.Y.","Kim","Ha Young","H.Y.","true","60016912"
"38",11,"true","1","https://api.elsevier.com/content/author/author_id/57204358704","57204358704",NA,"Hartmann J.","Hartmann","Jochen","J.","true","60010023"
"39",11,"true","2","https://api.elsevier.com/content/author/author_id/57204343264","57204343264",NA,"Heitmann M.","Heitmann","Mark","M.","true","60028229"
"40",11,"true","3","https://api.elsevier.com/content/author/author_id/57225139917","57225139917",NA,"Siebert C.","Siebert","Christian","C.","true","60028229"
"41",11,"true","4","https://api.elsevier.com/content/author/author_id/57204351367","57204351367",NA,"Schamp C.","Schamp","Christina","C.","true","60000583"
"42",12,"true","1","https://api.elsevier.com/content/author/author_id/57737802800","57737802800",NA,"Roelen-Blasberg T.","Roelen-Blasberg","Tobias","T.","true","128210654"
"43",12,"true","2","https://api.elsevier.com/content/author/author_id/56487393800","56487393800",NA,"Habel J.","Habel","Johannes","J.","true","60116255"
"44",12,"true","3","https://api.elsevier.com/content/author/author_id/20436212800","20436212800",NA,"Klarmann M.","Klarmann","Martin","M.","true","60102538"
"45",13,"true","1","https://api.elsevier.com/content/author/author_id/57204667922","57204667922",NA,"Carlson K.","Carlson","Keith","K.","true","60010756"
"46",13,"true","2","https://api.elsevier.com/content/author/author_id/6602301208","6602301208",NA,"Kopalle P.K.","Kopalle","Praveen K.","P.K.","true","60017072"
"47",13,"true","3","https://api.elsevier.com/content/author/author_id/57188815646","57188815646",NA,"Riddell A.","Riddell","Allen","A.","true","60010875"
"48",13,"true","4","https://api.elsevier.com/content/author/author_id/6603901581","6603901581",NA,"Rockmore D.","Rockmore","Daniel","D.","true","60030961"
"49",13,"true","5","https://api.elsevier.com/content/author/author_id/57216528238","57216528238",NA,"Vana P.","Vana","Prasad","P.","true","60017072"
"50",14,"true","1","https://api.elsevier.com/content/author/author_id/17344402700","17344402700","0000-0002-1546-3070","Ranfagni S.","Ranfagni","Silvia","S.","true","60021859"
"51",14,"true","2","https://api.elsevier.com/content/author/author_id/57192887815","57192887815","0000-0003-2971-195X","Milanesi M.","Milanesi","Matilde","M.","true","60021859"
"52",14,"true","3","https://api.elsevier.com/content/author/author_id/6508351129","6508351129","0000-0002-7542-6984","Guercini S.","Guercini","Simone","S.","true","60021859"
"53",15,"true","1","https://api.elsevier.com/content/author/author_id/12790621000","12790621000","0000-0003-4062-1365","Won E.J.S.","Won","Eugene J.S.","E.J.S.","true","60005581"
"54",15,"true","2","https://api.elsevier.com/content/author/author_id/56114646000","56114646000","0000-0003-4759-2026","Oh Y.K.","Oh","Yun Kyung","Y.K.","true","60005581"
"55",15,"true","3","https://api.elsevier.com/content/author/author_id/56067756800","56067756800","0000-0002-6604-5944","Choeh J.Y.","Choeh","Joon Yeon","J.Y.","true","60027884"
"56",16,"true","1","https://api.elsevier.com/content/author/author_id/56692096700","56692096700",NA,"Cooper D.A.","Cooper","Dylan A.","D.A.","true","60020903"
"57",16,"true","2","https://api.elsevier.com/content/author/author_id/55711187300","55711187300",NA,"Yalcin T.","Yalcin","Taylan","T.","true","60020903"
"58",16,"true","3","https://api.elsevier.com/content/author/author_id/57219215501","57219215501",NA,"Nistor C.","Nistor","Cristina","C.","true","60016569"
"59",16,"true","4","https://api.elsevier.com/content/author/author_id/57435496700","57435496700",NA,"Macrini M.","Macrini","Matthew","M.","true","60020903"
"60",16,"true","5","https://api.elsevier.com/content/author/author_id/36990433800","36990433800",NA,"Pehlivan E.","Pehlivan","Ekin","E.","true","60020903"
"61",17,"true","1","https://api.elsevier.com/content/author/author_id/58043994300","58043994300","0000-0002-2598-6297","Lee N.","Lee","Nah","N.",NA,NA
"62",17,"true","2","https://api.elsevier.com/content/author/author_id/56883060500","56883060500","0000-0001-8596-6418","Bollinger B.","Bollinger","Bryan","B.",NA,NA
"63",17,"true","3","https://api.elsevier.com/content/author/author_id/6603093076","6603093076",NA,"Staelin R.","Staelin","Richard","R.",NA,NA
"64",18,"true","1","https://api.elsevier.com/content/author/author_id/57142826600","57142826600",NA,"Chen Y.C.","Chen","Yen Chun","Y.C.","true","60012369"
"65",18,"true","2","https://api.elsevier.com/content/author/author_id/7103360912","7103360912",NA,"Arnold T.","Arnold","Todd","T.","true","60159673"
"66",18,"true","3","https://api.elsevier.com/content/author/author_id/56431612400","56431612400",NA,"Liu P.Y.","Liu","Ping Yu","P.Y.","true","60012369"
"67",18,"true","4","https://api.elsevier.com/content/author/author_id/36674937300","36674937300",NA,"Huang C.Y.","Huang","Chun Yao","C.Y.","true","60238182"
"68",19,"true","1","https://api.elsevier.com/content/author/author_id/56076679200","56076679200",NA,"Moro S.","Moro","Sérgio","S.","true","60028300"
"69",19,"true","2","https://api.elsevier.com/content/author/author_id/8157767100","8157767100",NA,"Pires G.","Pires","Guilherme","G.","true","60180326"
"70",19,"true","3","https://api.elsevier.com/content/author/author_id/14629383400","14629383400",NA,"Rita P.","Rita","Paulo","P.","true","60105899"
"71",19,"true","4","https://api.elsevier.com/content/author/author_id/7003574407","7003574407",NA,"Cortez P.","Cortez","Paulo","P.","true","60020475"
"72",19,"true","5","https://api.elsevier.com/content/author/author_id/57210466897","57210466897",NA,"Ramos R.F.","Ramos","Ricardo F.","R.F.","true","60027072"
"73",20,"true","1","https://api.elsevier.com/content/author/author_id/57883475400","57883475400",NA,"Woehler J.","Woehler","Julia","J.","true","60018353"
"74",20,"true","2","https://api.elsevier.com/content/author/author_id/57189633390","57189633390",NA,"Ernst C.","Ernst","Cornelia","C.","true","60018353"
"75",21,"true","1","https://api.elsevier.com/content/author/author_id/37113946900","37113946900","0000-0002-8588-9405","Umashankar N.","Umashankar","Nita","N.",NA,NA
"76",21,"true","2","https://api.elsevier.com/content/author/author_id/56375089900","56375089900",NA,"Kim K.H.","Kim","Kihyun Hannah","K.H.",NA,NA
"77",21,"true","3","https://api.elsevier.com/content/author/author_id/6506027894","6506027894",NA,"Reutterer T.","Reutterer","Thomas","T.",NA,NA
"78",22,"true","1","https://api.elsevier.com/content/author/author_id/57204652898","57204652898","0000-0003-0163-944X","Camilleri E.","Camilleri","Edwin","E.","true","60180326"
"79",22,"true","2","https://api.elsevier.com/content/author/author_id/8525891500","8525891500","0000-0002-7392-4285","Garg N.","Garg","Nitika","N.","true","60190890"
"80",22,"true","3","https://api.elsevier.com/content/author/author_id/24178573200","24178573200","0000-0002-3783-8769","Miah S.J.","Miah","Shah Jahan","S.J.","true","60180326"
"81",23,"true","1","https://api.elsevier.com/content/author/author_id/55969297500","55969297500","0000-0002-7266-4506","Ahmad S.N.","Ahmad","Shimi Naurin","S.N.","true","60017062"
"82",23,"true","2","https://api.elsevier.com/content/author/author_id/35866711700","35866711700",NA,"Laroche M.","Laroche","Michel","M.","true","60116755"
"83",24,"true","1","https://api.elsevier.com/content/author/author_id/57185707900","57185707900",NA,"Bilro R.G.","Bilro","Ricardo Godinho","R.G.","true","60028300"
"84",24,"true","2","https://api.elsevier.com/content/author/author_id/27467492100","27467492100",NA,"Loureiro S.M.C.","Loureiro","Sandra Maria Correia","S.M.C.","true","60028300"
"85",24,"true","3","https://api.elsevier.com/content/author/author_id/58172263200","58172263200",NA,"Souto P.","Souto","Pedro","P.","true","60028300"
"86",25,"true","1","https://api.elsevier.com/content/author/author_id/58164669300","58164669300",NA,"Dey A.","Dey","Amrita","A.","true","60025488"
"87",25,"true","2","https://api.elsevier.com/content/author/author_id/7102012114","7102012114",NA,"Carson S.J.","Carson","Stephen J.","S.J.","true","60025488"
"88",26,"true","1","https://api.elsevier.com/content/author/author_id/55520009700","55520009700",NA,"de Regt A.","de Regt","Anouk","A.","true","60011520"
"89",26,"true","2","https://api.elsevier.com/content/author/author_id/57320987900","57320987900",NA,"Cheng Z.","Cheng","Zixuan","Z.","true","60011520"
"90",26,"true","3","https://api.elsevier.com/content/author/author_id/57466735700","57466735700",NA,"Fawaz R.","Fawaz","Rayan","R.","true","60011520"
"91",27,"true","1","https://api.elsevier.com/content/author/author_id/7201656890","7201656890",NA,"Mathur A.","Mathur","Anil","A.","true","60029304"
"92",28,"true","1","https://api.elsevier.com/content/author/author_id/58164653700","58164653700",NA,"Wen Z.","Wen","Zhezhu","Z.","true","60020638"
"93",28,"true","2","https://api.elsevier.com/content/author/author_id/16239928500","16239928500",NA,"Pentina I.","Pentina","Iryna","I.","true","60021624"
"94",29,"true","1","https://api.elsevier.com/content/author/author_id/57200160670","57200160670",NA,"Amjad T.","Amjad","Tayyab","T.","true","60107208"
