id;authid;authname;surname;affilname;affiliation_city;affiliation_country;title;review;text;citedby_count;author_count;keywords;year;subjects_area;nref;review2
1;57207911180;Loupos P.;Loupos;UC Davis Graduate School of Management;Davis;United States;What reviews foretell about opening weekend box office revenue: the harbinger of failure effect in the movie industry;Marketing Letters;We empirically investigate the harbinger of failure phenomenon in the motion picture industry by analyzing the pre-release reviews written on movies by film critics. We find that harbingers of failure do exist. Their positive (negative) pre-release movie reviews provide a strong predictive signal that the movie will turn out to be a flop (success). This signal persists even for the top critic category, which usually consists of professional critics, indicating that having expertise in a professional domain does not necessarily lead to correct predictions. Our findings challenge the current belief that positive reviews always help enhance box office revenue and shed new light on the influencer-predictor hypothesis. We further analyze the writing style of harbingers and provide new insights into their personality traits and cognitive biases.;0;4;Harbingers of failure | Movies | Preference heterogeneity | Reviews | Text analytics;2023;Business and International Management | Economics and Econometrics | Marketing;40;Marketing Letters
1;58186154700;Peng Y.;Peng;UC Davis Graduate School of Management;Davis;United States;What reviews foretell about opening weekend box office revenue: the harbinger of failure effect in the movie industry;Marketing Letters;We empirically investigate the harbinger of failure phenomenon in the motion picture industry by analyzing the pre-release reviews written on movies by film critics. We find that harbingers of failure do exist. Their positive (negative) pre-release movie reviews provide a strong predictive signal that the movie will turn out to be a flop (success). This signal persists even for the top critic category, which usually consists of professional critics, indicating that having expertise in a professional domain does not necessarily lead to correct predictions. Our findings challenge the current belief that positive reviews always help enhance box office revenue and shed new light on the influencer-predictor hypothesis. We further analyze the writing style of harbingers and provide new insights into their personality traits and cognitive biases.;0;4;Harbingers of failure | Movies | Preference heterogeneity | Reviews | Text analytics;2023;Business and International Management | Economics and Econometrics | Marketing;40;Marketing Letters
1;58185656400;Li S.;Li;UC Davis Graduate School of Management;Davis;United States;What reviews foretell about opening weekend box office revenue: the harbinger of failure effect in the movie industry;Marketing Letters;We empirically investigate the harbinger of failure phenomenon in the motion picture industry by analyzing the pre-release reviews written on movies by film critics. We find that harbingers of failure do exist. Their positive (negative) pre-release movie reviews provide a strong predictive signal that the movie will turn out to be a flop (success). This signal persists even for the top critic category, which usually consists of professional critics, indicating that having expertise in a professional domain does not necessarily lead to correct predictions. Our findings challenge the current belief that positive reviews always help enhance box office revenue and shed new light on the influencer-predictor hypothesis. We further analyze the writing style of harbingers and provide new insights into their personality traits and cognitive biases.;0;4;Harbingers of failure | Movies | Preference heterogeneity | Reviews | Text analytics;2023;Business and International Management | Economics and Econometrics | Marketing;40;Marketing Letters
1;58186482000;Hao H.;Hao;UC Davis Graduate School of Management;Davis;United States;What reviews foretell about opening weekend box office revenue: the harbinger of failure effect in the movie industry;Marketing Letters;We empirically investigate the harbinger of failure phenomenon in the motion picture industry by analyzing the pre-release reviews written on movies by film critics. We find that harbingers of failure do exist. Their positive (negative) pre-release movie reviews provide a strong predictive signal that the movie will turn out to be a flop (success). This signal persists even for the top critic category, which usually consists of professional critics, indicating that having expertise in a professional domain does not necessarily lead to correct predictions. Our findings challenge the current belief that positive reviews always help enhance box office revenue and shed new light on the influencer-predictor hypothesis. We further analyze the writing style of harbingers and provide new insights into their personality traits and cognitive biases.;0;4;Harbingers of failure | Movies | Preference heterogeneity | Reviews | Text analytics;2023;Business and International Management | Economics and Econometrics | Marketing;40;Marketing Letters
2;57076843000;Krefeld-Schwalb A.;Krefeld-Schwalb;Erasmus Universiteit Rotterdam;Rotterdam;Netherlands;Tighter nets for smaller fishes? Mapping the development of statistical practices in consumer research between 2008 and 2020;Marketing Letters;During the last decade, confidence in many social sciences, including consumer research, has been undermined by doubts about the replicability of empirical research findings. These doubts have led to increased calls to improve research practices and adopt new measures to increase the replicability of published work from various stakeholders such as funding agencies, journals, and scholars themselves. Despite these demands, it is unclear to which the research published in the leading consumer research journals has adhered to these calls for change. This article provides the first systematic empirical analysis of this question by surveying three crucial statistics of published consumer research over time: sample sizes, effect sizes, and the distribution of published p values. The authors compile a hand-coded sample of N = 258 articles published between 2008 and 2020 in the Journal of Consumer Psychology, the Journal of Consumer Research, and the Journal of Marketing Research. An automated text analysis across all publications in these three journals corroborates the representativeness of the hand-coded sample. Results reveal a substantial increase in sample sizes above and beyond the use of online samples along with a decrease in reported effect sizes. Effect and samples sizes are highly correlated which at least partially explains the reduction in reported effect sizes.;3;2;Experimental research methods | False-positive results | Review;2023;Business and International Management | Economics and Econometrics | Marketing;53;Marketing Letters
2;19934340900;Scheibehenne B.;Scheibehenne;Karlsruher Institut für Technologie;Karlsruhe;Germany;Tighter nets for smaller fishes? Mapping the development of statistical practices in consumer research between 2008 and 2020;Marketing Letters;During the last decade, confidence in many social sciences, including consumer research, has been undermined by doubts about the replicability of empirical research findings. These doubts have led to increased calls to improve research practices and adopt new measures to increase the replicability of published work from various stakeholders such as funding agencies, journals, and scholars themselves. Despite these demands, it is unclear to which the research published in the leading consumer research journals has adhered to these calls for change. This article provides the first systematic empirical analysis of this question by surveying three crucial statistics of published consumer research over time: sample sizes, effect sizes, and the distribution of published p values. The authors compile a hand-coded sample of N = 258 articles published between 2008 and 2020 in the Journal of Consumer Psychology, the Journal of Consumer Research, and the Journal of Marketing Research. An automated text analysis across all publications in these three journals corroborates the representativeness of the hand-coded sample. Results reveal a substantial increase in sample sizes above and beyond the use of online samples along with a decrease in reported effect sizes. Effect and samples sizes are highly correlated which at least partially explains the reduction in reported effect sizes.;3;2;Experimental research methods | False-positive results | Review;2023;Business and International Management | Economics and Econometrics | Marketing;53;Marketing Letters
3;58085900500;Kronrod A.;Kronrod;University of Massachusetts Lowell;Lowell;United States;Been There, Done That: How Episodic and Semantic Memory Affects the Language of Authentic and Fictitious Reviews;Journal of Consumer Research;This article suggests a theory-driven approach to address the managerial problem of distinguishing between real and fake reviews. Building on memory research and linguistics, we predict that when recollecting an authentic experience in a product review, people rely to a greater extent on episodic memory. By contrast, when writing a fictitious review, people do not have episodic memory available to them. Therefore, they must rely to a greater extent on semantic memory. We suggest that reliance on these different memory types is reflected in the language used in authentic and fictitious reviews. We develop predictions about five linguistic features characterizing authentic versus fictitious reviews. We test our predictions via a multi-method approach, combining computational linguistics, experimental design, and machine learning. We employ a large-scale experiment to derive a dataset of reviews, as well as two datasets containing reviews from online platforms. We also test whether an algorithm relying on our theory-driven linguistic features is context independent, relative to other benchmark algorithms, and shows better cross-domain performance when tested across datasets. By developing a theory that extends memory and psycholinguistics research to the realm of word of mouth, this work contributes to our understanding of how authentic and fictitious reviews are created.;0;3;fake reviews | lie detection | linguistic features | machine learning | memory | text analysis;2023;Business and International Management | Anthropology | Arts and Humanities (miscellaneous) | Economics and Econometrics | Marketing;139;Journal of Consumer Research
3;58520515700;Gordeliy I.;Gordeliy;EDHEC Business School;Roubaix;France;Been There, Done That: How Episodic and Semantic Memory Affects the Language of Authentic and Fictitious Reviews;Journal of Consumer Research;This article suggests a theory-driven approach to address the managerial problem of distinguishing between real and fake reviews. Building on memory research and linguistics, we predict that when recollecting an authentic experience in a product review, people rely to a greater extent on episodic memory. By contrast, when writing a fictitious review, people do not have episodic memory available to them. Therefore, they must rely to a greater extent on semantic memory. We suggest that reliance on these different memory types is reflected in the language used in authentic and fictitious reviews. We develop predictions about five linguistic features characterizing authentic versus fictitious reviews. We test our predictions via a multi-method approach, combining computational linguistics, experimental design, and machine learning. We employ a large-scale experiment to derive a dataset of reviews, as well as two datasets containing reviews from online platforms. We also test whether an algorithm relying on our theory-driven linguistic features is context independent, relative to other benchmark algorithms, and shows better cross-domain performance when tested across datasets. By developing a theory that extends memory and psycholinguistics research to the realm of word of mouth, this work contributes to our understanding of how authentic and fictitious reviews are created.;0;3;fake reviews | lie detection | linguistic features | machine learning | memory | text analysis;2023;Business and International Management | Anthropology | Arts and Humanities (miscellaneous) | Economics and Econometrics | Marketing;139;Journal of Consumer Research
3;57210597224;Lee J.k.;Lee;American University;Washington, D.C.;United States;Been There, Done That: How Episodic and Semantic Memory Affects the Language of Authentic and Fictitious Reviews;Journal of Consumer Research;This article suggests a theory-driven approach to address the managerial problem of distinguishing between real and fake reviews. Building on memory research and linguistics, we predict that when recollecting an authentic experience in a product review, people rely to a greater extent on episodic memory. By contrast, when writing a fictitious review, people do not have episodic memory available to them. Therefore, they must rely to a greater extent on semantic memory. We suggest that reliance on these different memory types is reflected in the language used in authentic and fictitious reviews. We develop predictions about five linguistic features characterizing authentic versus fictitious reviews. We test our predictions via a multi-method approach, combining computational linguistics, experimental design, and machine learning. We employ a large-scale experiment to derive a dataset of reviews, as well as two datasets containing reviews from online platforms. We also test whether an algorithm relying on our theory-driven linguistic features is context independent, relative to other benchmark algorithms, and shows better cross-domain performance when tested across datasets. By developing a theory that extends memory and psycholinguistics research to the realm of word of mouth, this work contributes to our understanding of how authentic and fictitious reviews are created.;0;3;fake reviews | lie detection | linguistic features | machine learning | memory | text analysis;2023;Business and International Management | Anthropology | Arts and Humanities (miscellaneous) | Economics and Econometrics | Marketing;139;Journal of Consumer Research
4;55796629453;Chang H.H.;Chang;NA;NA;NA;More Voices Persuade: The Attentional Benefits of Voice Numerosity;Journal of Marketing Research;"The authors posit that in an initial exposure to a broadcast video, hearing different voices narrate (in succession) a persuasive message encourages consumers’ attention and processing of the message, thereby facilitating persuasion; this is referred to as the voice numerosity effect. Across four studies (plus validation and replication studies)—including two large-scale, real-world data sets (with more than 11,000 crowdfunding videos and over 3.6 million customer transactions, and more than 1,600 video ads) and two controlled experiments (with over 1,800 participants)—the results provide support for the hypothesized effect. The effect (1) has consequential, economic implications in a real-world marketplace, (2) is more pronounced when the message is easier to comprehend, (3) is more pronounced when consumers have the capacity to process the ad message, and (4) is mediated by the favorability of consumers’ cognitive responses. The authors demonstrate the use of machine learning, text mining, and natural language processing to process and analyze unstructured (multimedia) data. Theoretical and marketing implications are discussed.";0;3;advertising | crowdfunding | marketing communications | persuasion | sensory marketing | videos | voice | voice numerosity;2023;Business and International Management | Economics and Econometrics | Marketing;111;Journal of Marketing Research
