"";"X";"entry_number";"X._fa";"prism.url";"dc.identifier";"eid";"dc.title";"dc.creator";"prism.publicationName";"prism.issn";"prism.volume";"prism.coverDate";"prism.coverDisplayDate";"prism.doi";"pii";"dc.description";"citedby_count";"prism.aggregationType";"subtype";"subtypeDescription";"author_count..limit";"author_count..total";"author_count..";"authkeywords";"article_number";"source_id";"fund_acr";"fund_no";"fund_sponsor";"openaccess";"openaccessFlag";"prism.eIssn";"prism.issueIdentifier";"prism.pageRange";"freetoread.value..";"freetoreadLabel.value..";"year"
"1";1;1;"true";"https://api.elsevier.com/content/abstract/scopus_id/85153514480";"SCOPUS_ID:85153514480";"2-s2.0-85153514480";"Text mining approach to explore determinants of grocery mobile app satisfaction using online customer reviews";"Kumar A.";"Journal of Retailing and Consumer Services";"09696989";"73";"2023-07-01";"July 2023";"10.1016/j.jretconser.2023.103363";"S0969698923001108";"In recent years, there has been proliferation of grocery mobile apps as grocery shopping on mobile has found increasing acceptance among customers accelerated by multiple factors. Maintaining high level of customer satisfaction is important for grocery mobile apps in the highly competitive app market. Online reviews have been a rich source of information to analyze customer satisfaction with a product or service. This paper explores the determinants of customer satisfaction for grocery mobile apps using online reviews. Latent Dirichlet Analysis (LDA), which is a text mining technique, is used to analyze online customer reviews of 27,337 customers to identify determinants of customer satisfaction. The determinants identified were further analyzed using a series of analysis to understand the importance of each determinant. Dominance analysis examined the relative importance of the determinants of customer satisfaction based on the overall rating. Correspondence analysis identified determinants which cause satisfaction separately from the determinants which cause dissatisfaction. The results from this study will provide insights to business managers of grocery mobile apps for decision-making on customer satisfaction management.";0;"Journal";"ar";"Article";100;3;3;"Customer satisfaction | Grocery mobile apps | Online customer reviews | Text mining | Topic modelling";"103363";22992;"CS";"undefined";"Cedars-Sinai Medical Center";0;FALSE;NA;NA;NA;NA;NA;2023
"2";2;2;"true";"https://api.elsevier.com/content/abstract/scopus_id/85151004351";"SCOPUS_ID:85151004351";"2-s2.0-85151004351";"Analysis of customers' satisfaction with baby products: The moderating role of brand image";"Nilashi M.";"Journal of Retailing and Consumer Services";"09696989";"73";"2023-07-01";"July 2023";"10.1016/j.jretconser.2023.103334";"S0969698923000814";"The previous experience of customers is assessed by textual reviews and ratings to reflect their levels of satisfaction with the service or product. Online reviews and ratings have played a vital role to assess the performance of the services or the quality of goods. This research explores customers' levels of satisfaction with baby products on Amazon.com through text mining and survey-based methodologies. The moderating role of a brand image is also investigated on the relationship between customers' satisfaction and recommendations to others. Two sources of data were utilized, online reviews from the Amazon portal and responses of the participants on a large-scale survey. The research model is developed based on the factors that were extracted from the text mining approach. Following that, a questionnaire was distributed and the collected data were inspected using Partial Least Squares Structural Equations Modeling (PLS-SEM). The findings revealed that several dimensions have an influential effect on customers' experiences with baby products, among which are comfortableness, material quality, easy use, easy return, design, price, packaging, and size information. In addition, the moderating influence of the brand image on the hypothesis between customers' satisfaction and recommendations to others was significant. By deploying the two-phase methodology, baby product vendors can understand the influential variables in customers' experiences and their impacts on customers’ satisfaction more accurately.";0;"Journal";"ar";"Article";100;6;6;"Analytic approach | Baby product | Brand image | Machine learning | Satisfaction";"103334";22992;"PNU";"/12/12";"Princess Nourah Bint Abdulrahman University";0;FALSE;NA;NA;NA;NA;NA;2023
"3";3;3;"true";"https://api.elsevier.com/content/abstract/scopus_id/85139387322";"SCOPUS_ID:85139387322";"2-s2.0-85139387322";"Analysing customers' reviews and ratings for online food deliveries: A text mining approach";"Khan F.M.";"International Journal of Consumer Studies";"14706423";"47";"2023-05-01";"May 2023";"10.1111/ijcs.12877";NA;"The purpose of this study was to explore the relationship between online reviews and ratings through text mining and empirical techniques. An Indian food delivery portal (Zomato.com) was used, where 50 restaurants on Presence Across Nation (PAN) basis were selected through stratified random sampling. A total of 2530 reviews were collected, scrutinized, and analysed. Using the NVivo software for qualitative analysis, seven themes were identified from collected reviews, out of which, the ‘delivery’ theme was explored further for identifying sub-themes. Linear regression modelling was used to identify the variables affecting delivery ratings and sentiment analysis was also performed on the identified sub-themes. Regression results revealed that hygiene and pricing (delivery subthemes) demonstrated lower delivery ratings. These variables can be established as indicators for restaurants and related online food delivery services to build their business model around them. Similarly, negative sentiments were observed in pricing and hygiene sub-themes. Restaurants and online food services can enhance hygiene levels of their food delivery process in order to receive higher delivery ratings. Similarly, pricing of food items can be modified such that customers are not deterred from ordering the items—food and ordering service do not become cost-prohibitive. This study devised a standardized methodology for analysing vast amounts of online user-generated content (UGC). Findings from this study can be extrapolated to other sectors and service industries such as, tourism, cleaning, transportation, hospitals and engineering especially during the pandemic.";0;"Journal";"ar";"Article";100;5;5;"customer satisfaction | food delivery | NVivo | qualitative data analysis | ratings | reviews";NA;5700167235;NA;"undefined";NA;0;FALSE;"14706431";"3";"953-976";NA;NA;2023
"4";4;4;"true";"https://api.elsevier.com/content/abstract/scopus_id/85138717027";"SCOPUS_ID:85138717027";"2-s2.0-85138717027";"Examining post-purchase consumer responses to product automation";"Smith L.W.";"Journal of the Academy of Marketing Science";"00920703";"51";"2023-05-01";"May 2023";"10.1007/s11747-022-00900-8";NA;"Automation is increasingly being introduced into a variety of consumer products, ranging from vacuum cleaners to autonomous vehicles. While automation provides convenience and efficiency benefits consumers value, related evidence suggests it can also undermine post-purchase consumer product responses of importance to managers (e.g., brand loyalty). Using insights derived from Amazon customer reviews, a survey of product owners, a virtual reality lab, and two vignette experiments, we formally explore this possibility and find that automation is indeed a double-edged sword. That is, we uncover that automation has undesirable effects on post-purchase outcomes because it interferes with psychological ownership formation. We also find that, depending on consumer identity motives (e.g., task-related vs. technology-related) and product design affordances (e.g., a remote access feature), this effect can be strengthened, weakened, or even reversed. Our findings offer managers needed guidance on how to counter automation’s dark side through identity-based targeting and product design.";0;"Journal";"ar";"Article";100;5;5;"Automation | Design affordances | Identity | Propensity score matching | Psychological ownership | Text analysis";NA;24385;NA;"undefined";NA;0;FALSE;"15527824";"3";"530-550";NA;NA;2023
"5";5;5;"true";"https://api.elsevier.com/content/abstract/scopus_id/85146998548";"SCOPUS_ID:85146998548";"2-s2.0-85146998548";"Exploring mobile banking service quality dimensions in Pakistan: a text mining approach";"Hussain A.";"International Journal of Bank Marketing";"02652323";"41";"2023-04-10";"10 April 2023";"10.1108/IJBM-08-2022-0379";NA;"Purpose: Customer reviews of mobile banking (m-banking) apps contain the most direct and first-hand accounts of customer experiences with m-banking. However, surprisingly little effort has been made to understand m-banking service quality using these reviews. Therefore, this study aims to discover m-banking service quality dimensions from customers' reviews of the m-banking apps through a text mining approach. Design/methodology/approach: Reviews of m-banking apps of 24 banks operating in Pakistan were scraped from Google Play Store. Latent Dirichlet allocation (LDA) method was applied to discover the dimensions of m-banking service quality from 24,529 positive and 29,569 negative useable reviews. Findings: Different dimensions of m-banking service quality are discussed in positive and negative reviews. Positive reviews focus on security, convenience, ease of use, continuous improvement, usefulness and app attributes, whereas negative reviews discuss system availability, responsiveness, faulty updates, login problems and reliability. Research limitations/implications: The results are based only on customer reviews in one country and generalization may not be possible. Moreover, due to the unavailability of demographic information about reviewers, the effect of demographic characteristics on users' perceptions of m-banking quality could not be determined. Practical implications: The study provides managers with useful insights to improve the service experience of m-banking customers. The study also demonstrates how managers can employ text analytical techniques to assess and improve the quality of m-banking services. Originality/value: In addition to enriching the understanding of m-banking quality based on direct and first-hand user experiences, the current study also provides initial evidence for the two-factor structure of m-banking service quality.";0;"Journal";"ar";"Article";100;3;3;"Mobile applications | Mobile banking (m-banking) | Service quality | Text mining | Topic modeling";NA;145229;NA;"undefined";NA;0;FALSE;NA;"3";"601-618";NA;NA;2023
"6";6;6;"true";"https://api.elsevier.com/content/abstract/scopus_id/85126071763";"SCOPUS_ID:85126071763";"2-s2.0-85126071763";"Systematic differences in online reviews of hotel services between business and leisure travelers";"Kim J.M.";"Journal of Vacation Marketing";"13567667";"29";"2023-04-01";"April 2023";"10.1177/13567667221084373";NA;"To understand whether the purpose of travel affects differences in the evaluation of hotel services, we analyzed online reviews for 768 hotels in New York City. The results show that leisure travelers are predisposed to leaving online reviews with higher ratings and positive emotions than those posted by business travelers, while the latter's review ratings are more widely dispersed, indicating greater inconsistency in their evaluations of hotel services. Based on our empirical evidence about systematic differences in online reviews of hotel services between business and leisure travelers, we can provide the hospitality industry with meaningful business implications.";0;"Journal";"ar";"Article";100;3;3;"Content analysis | hotel service | online review | service rating | text mining";NA;16800154724;"MOST";"109-2410-H-004 -066 -MY3";"Ministry of Science and Technology, Taiwan";0;FALSE;"14791870";"2";"189-205";NA;NA;2023
"7";7;7;"true";"https://api.elsevier.com/content/abstract/scopus_id/85143761358";"SCOPUS_ID:85143761358";"2-s2.0-85143761358";"Exploring mobile banking adoption and service quality features through user-generated content: the application of a topic modeling approach to Google Play Store reviews";"Çalli L.";"International Journal of Bank Marketing";"02652323";"41";"2023-03-17";"17 March 2023";"10.1108/IJBM-08-2022-0351";NA;"Purpose: The primary purpose of this research is to analyze the online user reviews, where real customer experiences can be observed, with text mining and machine learning approaches, which are seen as a gap in the related literature. This study aims to compare the latent themes uncovered by the topic modeling approach with studies focused on both mobile banking (m-banking) adaptation and service quality features, suggest new aspects and examine the effect of latent topics on customer satisfaction. Design/methodology/approach: This study analyzed 21,526 reviews posted by customers of private and state banks operating in Türkiye. An unsupervised machine learning method, Latent Dirichlet algorithm (LDA), was conducted to reveal topics, and the distribution of all reviews was visualized with the t-SNE algorithm. Random Forest, logistic regression, k-nearest neighbors (kNN) and Naive Bayes algorithms were utilized to predict user satisfaction through the given score. Findings: In total, 11 topics were revealed by considering user reviews based on their experience. Among these topics, perceived usefulness and convenience and time-saving are much more important in the scoring given to m-banking apps. Furthermore, in more detail, seven topics have been identified related to technical and security problems related to m-banking apps. Originality/value: This paper is a pioneer study regarding the method used and sample size reached in the m-banking literature. The findings also provide fresh insight into the post-Covid-19 era, both academically and practically, by providing new features for mobile bank adoption.";1;"Journal";"ar";"Article";100;1;1;"Latent Dirichlet allocation algorithm | Machine learning | Mobile banking | Service quality | Technology adoption | Text mining";NA;145229;NA;"undefined";NA;0;FALSE;NA;"2";"428-454";NA;NA;2023
"8";8;8;"true";"https://api.elsevier.com/content/abstract/scopus_id/85143310180";"SCOPUS_ID:85143310180";"2-s2.0-85143310180";"Development of methodology for classification of user experience (UX) in online customer review";"Son Y.";"Journal of Retailing and Consumer Services";"09696989";"71";"2023-03-01";"March 2023";"10.1016/j.jretconser.2022.103210";"S0969698922003034";"In e-commerce, customer feedback has become an essential source of insight into a product or service's user experience (UX). The study of UX helps to integrate customers' potential needs into the product's design. Because customer reviews in e-commerce are not structured and categorized, it is necessary to analyze UX based on customer opinions systematically. This study tries to structure UX in a product's positive/negative context through a neural network-based self-organizing map (SOM). As a result of analyzing 10,482 reviews on wireless earbuds in BestBuy, an electronic product e-commerce platform, it was confirmed that it is a suitable method for categorizing user experiences between reviews and deriving important factors. In particular, the difference in core UX elements by positive/negative context of the product was verified based on the star rating. The results of this study are expected to contribute to product improvement and business improvement that reflect customer needs by companies or designers who design products for end-users.";2;"Journal";"ar";"Article";100;2;2;"Online reviews | Self-organizing map | Text mining | User experience";"103210";22992;"MSIP";"2020R1A4A3079710";"Ministry of Science, ICT and Future Planning";0;FALSE;NA;NA;NA;NA;NA;2023
"9";9;9;"true";"https://api.elsevier.com/content/abstract/scopus_id/85142245402";"SCOPUS_ID:85142245402";"2-s2.0-85142245402";"Complaint De-Escalation Strategies on Social Media";"Herhausen D.";"Journal of Marketing";"00222429";"87";"2023-03-01";"March 2023";"10.1177/00222429221119977";NA;"To date, the literature offers multiple suggestions for how to recover from service failures, albeit without explicitly addressing customers’ negative, high-arousal states evoked by the failure. The few studies that do address ways to improve negative emotions after failures focus on face-to-face interactions only. Because many customers today prefer to complain on social media, firms must learn how to effectively de-escalate negative, high-arousal emotions through text-based exchanges to achieve successful service recoveries. With three field studies using natural language processing tools and three preregistered controlled experiments, the current research identifies ways to mitigate negative arousal in text-based social media complaining, specifically, active listening and empathy. In detail, increasing active listening and empathy in the firm response evokes gratitude among customers in high-arousal states, even if the actual failure is not (yet) recovered. These findings provide a new theoretical perspective on the role of customer arousal in service failures and recoveries as well as managerially relevant implications for dealing with public social media complaints.";0;"Journal";"ar";"Article";100;6;6;"de-escalation | digital service recovery | negative arousal | social media complaints";NA;22951;NA;"undefined";NA;1;TRUE;"15477185";"2";"210-231";NA;NA;2023
"10";10;10;"true";"https://api.elsevier.com/content/abstract/scopus_id/85141511083";"SCOPUS_ID:85141511083";"2-s2.0-85141511083";"Text mining-based four-step framework for smart speaker product improvement and sales planning";"Park J.";"Journal of Retailing and Consumer Services";"09696989";"71";"2023-03-01";"March 2023";"10.1016/j.jretconser.2022.103186";"S096969892200279X";"The smart speaker market, which is considered an early-stage market, is expected to grow rapidly as smart speakers become a part of daily life. Consequently, manufacturers are trying to dominate the market. To achieve this, they must analyze users' reactions to their products and find insights for product improvement through comparison with competitors. We propose a four-step methodological framework for identifying meaningful opinions from a large number of online user reviews. First, network analysis is conducted to compare differences between brands. Next, through topic modeling, the attributes of speakers that users consider the most crucial are extracted for each brand. Third, sentiment analysis is conducted to examine how users' emotional polarities differ for each attribute. Through this, product improvement and product sales plans can be derived. Finally, in order to clarify the strengths and weaknesses of each brand, brand positioning is conducted and user opinions that have changed along with the evolution of the speaker's generation are analyzed. Our study identified the factors that positively or negatively affect the experience of smart speaker users. In addition, the proposed method is highly useful because it can be used to derive insights from a large amount of user opinion data regardless of the search term.";2;"Journal";"ar";"Article";100;3;3;"Brand positioning | Decision support | Online review | Sales planning | Smart speaker | Text analysis";"103186";22992;"MOLIT";"2021-22-0257";"Yonsei University";0;FALSE;NA;NA;NA;NA;NA;2023
