"citing_art";"scopus_eid"
"85163158200";"84986274465"
"85142372695";"84986274465"
"85126946402";"84986274465"
"85060065630";"84986274465"
"85060040462";"84986274465"
"85123013062";"33750505977"
"85092346299";"33750505977"
"84902263102";"33750505977"
"85060065630";"84876231242"
"85055277517";"0035478854"
"84979529977";"0035478854"
"85136591503";"67650706330"
"85102463024";"67650706330"
"85079822358";"67650706330"
"85122333187";"0031573117"
"85138684672";"0031573117"
"85101263846";"0031573117"
"85078900437";"0031573117"
"85063814803";"0031573117"
"85060065630";"0031573117"
"85153514480";"0017360990"
"85153514480";"44949274046"
"85149566147";"44949274046"
"85109761157";"44949274046"
"85120872880";"44949274046"
"85139115612";"44949274046"
"85116481460";"44949274046"
"85091434156";"44949274046"
"85077154834";"44949274046"
"85138684672";"84930630277"
"85089499201";"84930630277"
"85071944121";"84930630277"
"85083648310";"84930630277"
"85076527722";"84930630277"
"85063809205";"84930630277"
"85055277517";"84930630277"
"85166204785";"80555140075"
"85146302485";"80555140075"
"85101739989";"80555140075"
"85088692184";"80555140075"
"85076527722";"80555140075"
"85151620034";"68049122102"
"85127334186";"68049122102"
"85097615908";"68049122102"
"85140003141";"0141907688"
"85116438673";"34249753618"
"85089499201";"34249753618"
"85099343492";"34249753618"
"85077710168";"34249753618"
"85065823634";"34249753618"
"85055277517";"34249753618"
"85144463165";"0030922816"
"85126047472";"84937849144"
"85149113734";"85100345654"
"85126004563";"85043317328"
"85167334948";"85043317328"
"85142372695";"85043317328"
"85138684672";"85043317328"
"85126946402";"85043317328"
"85101453495";"85043317328"
"85118220280";"85043317328"
"85101263846";"85043317328"
"85060065630";"85043317328"
"85060040462";"0036530772"
"85063809205";"0032203257"
"85153514480";"55249087535"
"85143761358";"55249087535"
"85150606964";"55249087535"
"85127280924";"55249087535"
"85120872880";"55249087535"
"85139115612";"55249087535"
"85109633827";"55249087535"
"85102463024";"55249087535"
"85088692184";"55249087535"
"85138633642";"55249087535"
"84905976163";"55249087535"
"25844441713";"55249087535"
"85060661202";"44649197264"
"85060562698";"44649197264"
"85143324979";"84896930624"
"85137626292";"84896930624"
"85120872880";"84896930624"
"85111638251";"84896930624"
"85102463024";"84896930624"
"85060661202";"84896930624"
"85070983662";"84896930624"
"85135121811";"11944272254"
"85087830728";"11944272254"
"85150089813";"84940644968"
"85153514480";"84973587732"
"85061812010";"84973587732"
"85065283005";"84973587732"
"85108345184";"41649112685"
"85102463024";"41649112685"
"85091434156";"41649112685"
"85153514480";"0141607824"
"85150347354";"0141607824"
"85146949978";"0141607824"
"85146998548";"0141607824"
"85158110075";"0141607824"
"85150498750";"0141607824"
"85141511083";"0141607824"
"85139679546";"0141607824"
"85167334948";"0141607824"
"85162774955";"0141607824"
"85158148454";"0141607824"
"85152800674";"0141607824"
"85151620034";"0141607824"
"85150855178";"0141607824"
"85150739173";"0141607824"
"85138276620";"0141607824"
"85126047472";"0141607824"
"85124378925";"0141607824"
"85127426396";"0141607824"
"85127280924";"0141607824"
"85146302485";"0141607824"
"85116722502";"0141607824"
"85131319256";"0141607824"
"85127638085";"0141607824"
"85126476246";"0141607824"
"85102511342";"0141607824"
"85117124447";"0141607824"
"85107472686";"0141607824"
"85150089813";"0141607824"
"85139115612";"0141607824"
"85138684672";"0141607824"
"85136591503";"0141607824"
"85131678809";"0141607824"
"85127334186";"0141607824"
"85126333013";"0141607824"
"85130623788";"0141607824"
"85121141262";"0141607824"
"85109633827";"0141607824"
"85116438673";"0141607824"
"85118220280";"0141607824"
"85113266808";"0141607824"
"85108170046";"0141607824"
"85102316531";"0141607824"
"85099389536";"0141607824"
"85138633642";"0141607824"
"85106315113";"0141607824"
"85083557523";"0141607824"
"85087421838";"0141607824"
"85064900712";"0141607824"
"85088942130";"0141607824"
"85088928551";"0141607824"
"85084418343";"0141607824"
"85082966401";"0141607824"
"85078887027";"0141607824"
"85125179733";"0141607824"
"85071944121";"0141607824"
"85083648310";"0141607824"
"85070983662";"0141607824"
"85063587453";"0141607824"
"85065283005";"0141607824"
"85055277517";"0141607824"
"85071937753";"0141607824"
"85048377287";"0141607824"
"85044845432";"0141607824"
"85059171693";"0141607824"
"85030455391";"0141607824"
"85023206466";"0141607824"
"84994761908";"0141607824"
"85010894617";"0141607824"
"84995685575";"0141607824"
